name,ideology,ideology_icon,city,state,is_statewide,is_headquarters,group,latitude,longitude,ideology_link,group_link,latitude_longitude_appended
Nation of Islam,Black Separatist,black-separatist,Birmingham,Alabama,FALSE,FALSE,Nation of Islam,33.44,-86.86,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"33.44, -86.86"
League of the South,Neo-Confederate,neo-confederate,Tuscaloosa,Alabama,FALSE,FALSE,League of the South,33.2,-87.56,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"33.2, -87.56"
League of the South,Neo-Confederate,neo-confederate,Wetumpka,Alabama,FALSE,FALSE,League of the South,32.59,-86.21,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"32.59, -86.21"
Nation of Islam,Black Separatist,black-separatist,Huntsville,Alabama,FALSE,FALSE,Nation of Islam,34.73,-86.58,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"34.73, -86.58"
Nation of Islam,Black Separatist,black-separatist,Mobile,Alabama,FALSE,FALSE,Nation of Islam,30.69,-88.05,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"30.69, -88.05"
League of the South,Neo-Confederate,neo-confederate,Killen,Alabama,FALSE,TRUE,League of the South,34.862863,-87.537525,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"34.862863, -87.537525"
National Socialist Movement,Neo-Nazi,neo-nazi,,Alabama,TRUE,FALSE,National Socialist Movement,32.31,-86.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,"32.31, -86.9"
Nation of Islam,Black Separatist,black-separatist,Montgomery,Alabama,FALSE,FALSE,Nation of Islam,32.33,-86.3,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"32.33, -86.3"
League of the South,Neo-Confederate,neo-confederate,Anniston,Alabama,FALSE,FALSE,League of the South,33.91,-85.54,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"33.91, -85.54"
Occidental Dissent,White Nationalist,white-nationalist,Eufaula,Alabama,FALSE,TRUE,,31.969345,-85.168674,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"31.969345, -85.168674"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Cullman,Alabama,FALSE,FALSE,,34.17,-86.84,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"34.17, -86.84"
United Klans of America,Ku Klux Klan,kkk,Ashland,Alabama,FALSE,TRUE,,33.27,-85.83,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"33.27, -85.83"
Southern National Congress,Neo-Confederate,neo-confederate,Wetumpka,Alabama,FALSE,FALSE,,32.543744,-86.211912,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,,"32.543744, -86.211912"
Council of Conservative Citizens,White Nationalist,white-nationalist,Eufaula,Alabama,FALSE,FALSE,Council of Conservative Citizens,31.96,-85.16,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,https://www.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens,"31.96, -85.16"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Hazel Green,Alabama,FALSE,FALSE,,34.93,-86.57,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"34.93, -86.57"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Vance,Alabama,FALSE,FALSE,,33.17,-87.23,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"33.17, -87.23"
Militant Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,Alabama,TRUE,FALSE,,32.31,-86.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"32.31, -86.9"
Israel United In Christ,Black Separatist,black-separatist,Birmingham,Alabama,FALSE,FALSE,,33.41,-86.68,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"33.41, -86.68"
Aryan Nations Sadistic Souls MC,Neo-Nazi,neo-nazi,,Alabama,TRUE,FALSE,,32.31,-86.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"32.31, -86.9"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Montgomery,Alabama,FALSE,FALSE,,32.36,-86.29,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"32.36, -86.29"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Birmingham,Alabama,FALSE,FALSE,,33.52,-86.8,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"33.52, -86.8"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Mobile,Alabama,FALSE,FALSE,,30.69,-88.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"30.69, -88.03"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Huntsville,Alabama,FALSE,FALSE,,34.73,-86.58,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"34.73, -86.58"
Nordic Order Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,Alabama,TRUE,FALSE,,32.31,-86.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"32.31, -86.9"
The Daily Stormer,Neo-Nazi,neo-nazi,Cullman,Alabama,FALSE,FALSE,,34.17,-86.84,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"34.17, -86.84"
United Dixie White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,Alabama,TRUE,FALSE,,32.31,-86.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"32.31, -86.9"
Borderkeepers of Alabama,Anti-Immigrant,anti-immigrant,Birmingham,Alabama,FALSE,TRUE,,33.52,-86.8,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant,,"33.52, -86.8"
Nation of Islam,Black Separatist,black-separatist,Phoenix,Arizona,FALSE,FALSE,Nation of Islam,33.405164,-112.070017,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"33.405164, -112.070017"
Fundamentalist Latter Day Saints,General Hate,other,Colorado City,Arizona,FALSE,FALSE,Fundamentalist Church of Jesus Christ of Latter-Day Saints,36.990262,-112.97577,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,https://www.splcenter.org/fighting-hate/extremist-files/group/fundamentalist-church-jesus-christ-latter-day-saints,"36.990262, -112.97577"
American Border Patrol,Anti-Immigrant,anti-immigrant,Sierra Vista,Arizona,FALSE,TRUE,,31.588871,-110.211737,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant,,"31.588871, -110.211737"
